Well,0 min ,12 min 50 s,25 min 21 s,41 min 10 s,53 min 43 s,66 min 25 s,78 min 51 s,91 min 24 s,104 min 8 s,119 min 43 s
A1,203892,190779,209344,200952,198346,200638,201287,200488,200069,202026
B1,195113,192369,181750,196948,196116,197208,199300,197454,195739,198314
C1,210836,205491,187353,203076,206460,209056,210007,209237,206099,208297
D1,199519,193808,174732,147490,144731,145708,144245,144452,143838,144600
E1,138126,136109,122403,104954,102456,103265,103542,103930,103170,104500
F1,128484,125666,113314,97874,94742,96036,96164,96380,96026,96799
G1,129948,125916,112384,96615,93532,94452,94331,95006,95282,95505
H1,124863,117125,105307,92307,89407,89681,90014,90837,90309,90390
A2,208923,201118,191126,211239,209632,210632,213128,211575,209283,212585
B2,204248,200675,180601,179719,206450,209114,209524,209038,208340,208226
C2,206198,199916,180868,150499,148237,149590,148153,147454,147990,147006
D2,209432,205290,183374,154588,153622,154718,155238,156088,155317,156976
E2,128225,134519,121142,104134,102478,102924,103359,102872,102678,103975
F2,132235,133266,121706,102071,101072,102005,102121,102441,101814,103393
G2,137486,134114,120073,104331,100218,101826,101986,101687,101725,102527
H2,154912,128413,116227,98326,96680,97443,96426,96555,96545,97274
A3,204558,194069,175949,197315,197697,201633,202242,200660,200663,200186
B3,180668,181125,164649,189241,191899,192617,192961,192518,191669,191806
C3,196211,191692,175960,147322,145812,145843,147024,147425,146223,145357
D3,195845,188729,171582,144813,140522,142266,142842,141544,140507,141162
E3,134430,129254,116294,97353,96078,95850,95861,96127,95552,96357
F3,139357,127994,114578,102698,95350,97728,98367,97573,97616,98425
G3,161048,133672,119567,100658,99132,100266,99608,99628,99289,100444
H3,179972,130665,112390,93201,90169,91227,90918,90884,90803,92526
A4,198331,191699,187078,202257,202228,205198,205606,204791,204162,203339
B4,206013,200258,181321,191152,203991,208305,208147,208196,207150,208622
C4,193980,190404,172049,145257,143242,144699,144793,144418,144230,143811
D4,211610,208552,187890,157032,155358,155888,155561,154992,154796,153883
E4,130863,127638,114896,96219,95219,95761,95887,95696,95904,95338
F4,160791,130632,116083,97446,95850,96312,96961,96084,96265,97084
G4,145766,124841,111830,94953,92850,92923,93569,93312,92983,94006
H4,181350,130196,115006,97314,96222,96579,95734,96079,96061,97638
A5,186411,180780,165235,186917,193454,196776,196490,195204,195547,196245
B5,183170,177659,161714,164566,187355,193381,194088,192722,194082,193608
C5,206942,201428,181768,151707,149441,151201,151863,152318,150554,151445
D5,198566,187811,171061,142191,142585,142726,143583,142372,140530,141092
E5,146429,143244,131966,111376,108926,109861,109475,109997,108762,109934
F5,132119,117809,107431,90365,88736,89033,89531,89844,90000,89178
G5,187452,142729,127910,107850,105344,106328,106992,106727,106873,107293
H5,186922,136722,121208,102780,100559,100842,101706,102456,101985,102096
A6,178732,174356,161552,175302,177776,178924,179590,177129,177634,177668
B6,182718,179437,162673,172002,177749,182553,181996,180722,181004,179784
C6,179659,177892,160692,150949,166067,174150,176294,176360,175302,175608
D6,209879,196656,175465,150620,145085,145953,145704,145176,143752,143058
E6,138977,138782,126277,106463,104405,104799,104605,105027,104685,105466
F6,151512,143774,128707,109436,105946,107523,107255,107538,107177,107646
G6,137620,124468,111910,94984,92424,92670,93982,93900,93190,94248
H6,197010,136011,121681,103080,99518,100815,101293,102794,100620,101980
A7,118243,120360,108776,92644,90904,92254,91719,91816,90994,91512
B7,109699,111716,101538,86052,84072,85840,85150,85129,85311,84959
C7,137422,139851,127149,107882,106311,106708,106407,106025,105178,107321
D7,138829,138494,125127,106901,105374,105187,106033,105131,105509,105328
E7,130892,129004,115554,98841,96810,97635,97182,96628,96579,97261
F7,151798,148076,132423,113469,111510,111689,112286,112444,112284,112042
G7,154004,139042,123823,103157,101206,100641,102806,101301,101026,102326
H7,158467,136598,124384,104916,102202,102768,103604,103236,102100,102954
A8,120102,117767,107502,91197,89640,89713,89888,90299,89718,90604
B8,122762,122090,110565,94864,92666,94136,93151,93432,92918,93408
C8,125384,127161,113988,97142,94507,95934,96054,95717,95537,96211
D8,139646,140302,127511,106986,104636,106835,106675,106620,105212,106175
E8,128247,124380,111642,95327,93294,93709,94206,92554,93429,94272
F8,154676,146060,135717,115812,113356,113401,113124,113160,113896,114374
G8,148385,128373,115742,97391,95267,95975,96639,95519,95372,96883
H8,143714,124269,110498,94467,93290,92100,93984,93166,92196,93486
A9,124282,123702,112206,94455,92701,94021,93703,93973,93377,93795
B9,124266,128517,118978,102120,100175,101168,100196,101644,100153,101149
C9,130376,130553,118970,100138,98664,98883,100097,99886,99038,100283
D9,119252,120263,108264,93211,90868,91263,91255,91714,91561,92166
E9,121043,113718,102146,87616,84756,86419,89039,85048,85619,84939
F9,149590,125990,118824,100210,98018,98135,99332,98624,98446,98787
G9,137815,132482,120178,102106,99833,99626,100800,100626,100716,101053
H9,151897,121448,107351,91522,88248,88833,88660,89594,89148,90118
A10,119746,115853,103744,89325,86877,88392,87932,87350,87442,88003
B10,115612,119720,111098,94611,92760,93247,93200,92838,92282,92747
C10,123747,123815,117276,100886,98641,98625,98620,98826,98790,98534
D10,128821,127452,115821,97890,95053,97452,97000,96392,95902,96786
E10,136265,124118,109734,93467,91094,92128,92474,91651,90998,92530
F10,120855,125943,113226,94931,93078,93510,93460,93670,93456,94832
G10,143208,133763,122473,104284,101107,102442,102832,101638,102285,102573
H10,147903,121378,108125,92652,89308,89748,91490,90266,90061,91253
A11,120446,117861,106968,90320,88734,89928,89900,89972,89790,90355
B11,106130,106285,96096,81615,80280,80601,79925,80630,80010,81014
C11,116363,116032,109658,89354,86999,92092,91614,87897,86999,88161
D11,110622,109488,99763,84389,82002,84143,84340,83358,82894,83608
E11,116249,115682,108831,88920,86432,91212,91970,90304,88127,91355
F11,130623,126502,113320,95677,93197,94734,94610,94329,93666,94608
G11,149884,131993,119688,100738,98169,98946,100156,98838,99243,99461
H11,118785,114744,104036,88022,85903,87462,88120,87794,87331,88540
A12,115188,111235,101525,88223,85058,86578,86566,86876,85766,86637
B12,116843,112552,101934,86662,85794,85952,85761,85875,85780,86116
C12,117191,112473,101952,86280,84602,85661,85534,84490,85178,85299
D12,119995,114476,102978,87808,86305,86546,87127,87317,86227,86752
E12,113018,107203,97440,81610,80677,80826,81123,81624,80850,82127
F12,126169,116837,105940,90050,88305,89204,89255,89212,88996,89682
G12,117763,108672,97937,82886,81284,81692,82448,81575,81504,82190
H12,120960,110800,99636,84156,82546,82972,84275,83133,84078,83692