Well,0 min ,12 min 49 s,29 min 39 s,41 min 19 s,53 min 5 s,71 min 20 s,90 min 36 s
A1,193460,194774,195049,150638,152574,207356,200361
B1,191310,190998,195885,212348,199246,208562,199792
C1,209301,210823,209895,160184,145380,152405,145230
D1,191646,191890,196058,145546,131595,139244,134682
E1,128016,128062,131167,101935,92645,99770,94191
F1,116703,117081,119112,93100,84102,89096,86322
G1,116815,116355,120241,93828,84265,91513,86554
H1,115752,116726,117346,92521,83274,89430,85554
A2,206866,205270,203241,189152,207155,218462,210005
B2,205032,201398,204388,203344,205494,215196,206842
C2,196068,196391,198162,198240,199007,211311,201865
D2,197433,198936,202131,155886,141456,148269,144096
E2,122253,121962,123822,96873,87402,93272,90013
F2,127367,129700,132384,102647,93746,100189,94904
G2,125057,125588,128838,100072,90530,97344,92430
H2,125014,125174,129418,99351,89162,96793,92194
A3,187770,186582,188854,186520,191745,202404,195096
B3,181558,180928,182483,170338,190443,197433,189244
C3,190692,191264,196406,204435,201076,213418,203300
D3,186925,190333,193306,161163,172646,209136,200766
E3,121008,122856,125422,97436,88609,94250,90724
F3,117692,118092,121540,94213,84688,90874,87514
G3,126215,126373,129080,100292,90703,97456,93037
H3,116195,116860,119810,92666,85034,92476,86978
A4,127672,125965,130040,101634,92481,98723,94994
B4,125221,124891,128350,99610,90677,97498,93034
C4,120731,120030,122446,95288,86396,92571,88481
D4,135916,136298,139804,108930,98606,105186,100722
E4,125347,125222,127420,98850,90161,95284,91936
F4,125266,126300,128816,99321,90304,96575,92403
G4,120576,121912,123972,95801,87658,93828,89113
H4,124776,123814,127918,102842,93629,100402,97281
A5,120618,121097,124209,95757,87922,93527,89102
B5,115482,114040,116549,91320,82600,88661,84316
C5,137268,136143,138240,108041,97656,104096,99574
D5,115518,115846,118596,91671,82840,89243,84721
E5,146224,146293,148846,116449,103658,112681,108157
F5,117747,117885,121377,92746,84543,90530,85916
G5,140965,138777,142279,111034,100026,107848,103036
H5,133872,133042,137079,105816,95387,102585,97588
A6,116817,115777,119284,91853,83474,88735,85247
B6,120193,120348,122815,95828,86738,93129,87599
C6,113803,114237,116580,89765,81805,87316,83242
D6,130964,129898,131394,103147,92771,99580,95428
E6,141470,141687,144468,110331,102061,108275,102635
F6,143110,142152,146032,112179,101338,108536,104072
G6,124851,124773,126198,98992,89330,95515,90995
H6,131836,132190,138850,109784,99324,105574,101104
A7,119720,119464,121886,94163,86406,91812,88378
B7,112651,112054,114353,89316,81305,86286,82244
C7,142472,141201,144580,112982,102138,108916,104223
D7,140322,141003,143744,110419,99837,107255,102510
E7,131797,131097,133561,103475,93316,100286,96642
F7,146878,147166,150980,117233,106202,112803,108548
G7,137378,136588,138971,107321,97858,104547,99984
H7,132285,130354,132024,102244,93331,100472,95812
A8,116376,116062,117898,92303,83585,89085,84525
B8,122698,121555,125180,97475,87990,94347,90401
C8,126690,126535,129904,101287,91919,98206,93906
D8,140715,140956,142181,109656,100206,108132,101496
E8,124745,126238,127809,98653,90508,96175,92070
F8,141924,142322,145370,111988,102034,109039,103838
G8,125215,125770,126824,97831,89834,96161,91967
H8,113774,112026,117978,92092,84337,89515,87053
A9,122006,120887,123556,96766,88223,94005,89487
B9,123709,123246,126847,99044,89876,97168,92081
C9,130682,131692,133346,104596,94815,100186,96310
D9,120002,120896,124197,94774,86941,92870,88410
E9,108236,109092,111211,85354,77578,83417,80323
F9,119310,119636,121884,95091,85644,92490,88837
G9,135986,134894,136669,106631,96082,103688,98915
H9,115559,115516,118969,92982,84598,90948,87313
A10,111725,111780,114122,89339,80566,87071,82837
B10,113674,114241,115825,90447,82056,89126,84925
C10,118068,119380,120604,93328,85436,91856,88011
D10,122251,121810,124646,96481,88026,94694,89833
E10,115475,116300,118176,90906,84281,89157,85599
F10,113296,114965,116499,90571,82380,87340,84842
G10,122342,123787,125039,97507,89107,94078,90864
H10,115594,116079,119108,93165,84025,90990,86669
A11,113630,113916,118526,91738,83188,90214,85867
B11,103756,103732,106008,82453,74150,80051,76138
C11,111415,111027,113616,88738,80078,85362,82598
D11,105450,105644,108265,83596,76619,82604,77501
E11,107057,107736,109586,84753,77388,82722,79286
F11,113893,113609,116470,90606,82404,88193,83636
G11,123701,123004,124387,97202,88393,95088,90131
H11,109404,109026,115104,90786,82096,89315,84992
A12,105515,108328,110981,85030,77857,83526,81084
B12,109240,109091,112244,87128,78853,85322,82800
C12,105859,108139,111715,86819,78616,84070,81272
D12,108452,108136,111951,86922,79943,84257,82014
E12,103018,101492,106286,81990,74474,81171,76665
F12,113296,113416,116413,89292,81560,87898,83742
G12,104946,104724,105661,83717,75428,81790,78064
H12,107864,104011,109785,85677,77126,83664,79994