Well,0 min ,12 min 32 s,16 min 45 s,29 min 11 s,42 min 6 s,58 min 5 s,72 min 19 s,89 min 15 s
A1,190850,194169,194817,202141,194830,195811,194879,193768
B1,190514,193283,195176,201480,192228,195388,193356,192984
C1,201647,208934,211434,210959,207444,209739,209749,207987
D1,197314,200641,202266,200179,189972,189786,190689,190082
E1,126585,128174,131860,130382,121869,123148,125078,126380
F1,118018,119769,123294,121990,117718,118418,119186,120054
G1,117743,121389,124559,124093,117279,118176,119048,120536
H1,110353,114368,119002,117260,112562,112643,114524,114921
A2,202764,204101,204754,211606,203948,204992,203856,204099
B2,192543,197547,198034,205120,198276,198507,198554,198522
C2,205063,208021,209055,210138,198335,204353,205865,207237
D2,204874,209473,211218,206978,197166,196069,195694,195840
E2,126623,128474,132145,129831,122595,123908,125743,126317
F2,128262,131513,136040,133920,128413,127730,130849,129227
G2,129230,132542,136210,133562,127406,126238,129416,128326
H2,120524,124336,126776,125623,120657,122600,122542,122509
A3,178855,179126,180292,186259,179550,181750,182894,183176
B3,174438,177004,179551,182641,180223,181589,179863,182233
C3,187355,190436,192140,192827,181863,181399,180744,182128
D3,189916,192783,193218,193092,180003,179985,178842,179538
E3,122205,125860,128534,126876,120217,120584,121780,121835
F3,116837,118747,123427,119902,114523,115077,115976,116659
G3,127359,128382,133363,130539,124261,125578,125554,125663
H3,115721,117984,121392,120352,115708,115309,116479,116852
A4,192019,191354,195398,201365,194423,194865,195160,196635
B4,201751,199472,203968,207660,201996,202547,201487,201584
C4,190079,192814,193900,192865,181879,186428,190541,192833
D4,204257,207394,208668,207111,193054,190975,190140,189980
E4,119660,122664,125658,124010,117700,118186,118730,119923
F4,122619,124711,127085,125213,118813,119780,120802,122336
G4,118314,120230,122703,122422,116789,117651,118980,118355
H4,122659,125432,129782,127183,122701,122345,124104,125401
A5,181724,184837,187238,195574,189498,186459,185919,187827
B5,187951,185194,188046,191024,180955,187967,185710,193512
C5,206954,207068,209602,210207,202010,210420,209145,210449
D5,179263,182968,187768,190338,178183,170422,166732,175997
E5,137694,142271,146873,144643,138170,138432,139226,140064
F5,110658,113157,116505,114187,109886,109761,109510,110867
G5,133298,134076,139325,136574,132080,133443,132908,133728
H5,130137,132454,136098,133951,128723,128975,128893,128948
A6,175818,177427,179509,182015,180486,179365,180524,177638
B6,189900,191466,193697,195276,189719,189869,189860,190129
C6,183790,183803,187606,186542,177958,186609,187150,187162
D6,199979,202655,208446,204613,193330,192696,193609,193622
E6,131201,136177,141621,140098,133109,131523,132839,133329
F6,133089,135698,140084,137971,131559,131940,132740,133894
G6,121050,122798,127300,125769,120914,120432,122546,121980
H6,128074,130959,135087,131911,126349,126294,128499,127878
A7,112272,114364,119005,117031,110963,111191,112433,111852
B7,108188,107875,111898,110176,104558,104713,105469,105617
C7,136727,136881,141582,141504,133088,131911,133523,134351
D7,137488,140342,145276,143306,136912,134804,135781,137500
E7,126711,131252,135965,134237,127030,129086,127939,127181
F7,140353,145916,150088,149455,140670,143324,142745,143576
G7,127714,133354,138857,136742,130034,131157,132776,133306
H7,123848,126368,129755,129868,122803,124630,124880,124718
A8,110809,109720,113217,112316,106716,106412,107754,108229
B8,120954,121330,127154,125564,119447,118744,118524,118672
C8,122634,125242,129268,128803,120494,120446,120200,122092
D8,136454,140813,145329,143211,136970,137181,137287,137217
E8,119731,125018,129347,127188,121469,123136,122939,123078
F8,140731,145912,150630,148144,141754,141852,141992,143032
G8,124615,130080,134610,133331,126770,128135,129282,128072
H8,113011,115440,119842,120223,114980,116295,116675,117525
A9,120837,117952,120354,118910,114231,113980,114841,113862
B9,123916,123922,128239,126017,119932,119952,121042,121002
C9,131334,132649,139032,136344,130168,129167,129367,130249
D9,114691,115967,119151,117469,112970,112361,113224,113138
E9,106044,111553,114790,112820,107911,107766,107998,108244
F9,117456,121812,127252,124631,119191,119364,118620,120767
G9,132024,135312,140045,138965,131136,133000,132219,132936
H9,109598,115255,116411,119223,113429,113837,113531,112888
A10,116212,116493,119878,117442,109094,109793,111106,111433
B10,114871,115286,119288,116850,111509,110577,111768,112993
C10,118040,118284,125355,122614,114972,115195,116344,116461
D10,116021,115882,119242,118403,112090,111892,112182,113116
E10,115126,118190,122788,121698,115166,115558,115968,117504
F10,109627,113501,118215,116860,111896,113973,114080,114317
G10,123042,123178,127556,126857,120244,120859,122073,122994
H10,109370,115243,119070,119626,113762,116408,115579,116010
A11,110626,110955,113578,112308,107306,108475,108560,108327
B11,107987,105417,111769,108323,104018,103043,104162,103529
C11,116485,118390,124166,120094,115290,113875,114839,115008
D11,111198,111639,119104,114984,112868,110436,110661,110217
E11,106256,108778,114669,113454,108407,109092,107798,109792
F11,112006,116959,120722,119736,113872,116074,115251,115412
G11,126202,128194,133449,131707,125927,127271,126240,127857
H11,106735,108740,115093,112955,107742,109987,109401,108867
A12,99798,102395,106885,104447,100504,102648,103253,102729
B12,105166,107788,112444,110581,104697,105828,106105,105058
C12,104916,107354,110452,109505,104918,104042,105072,104104
D12,108966,110252,114070,112857,106915,108801,108233,108620
E12,97829,101006,105231,105090,98724,100505,100099,100404
F12,108319,110315,115866,113693,107555,110296,110399,109564
G12,99562,101864,106306,104336,100442,100818,100577,100981
H12,103915,105200,109560,108578,104326,107180,106906,107319