User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 415,,,,,,,,
Test name: QUICK FI TOP,Date: 17/07/2016,Time: 16:59:56,,,,,,,,
ID1: QUICK FI TOP,,,,,,,,,,
Fluorescence (FI),,,,,,,,,,
,,,,,,,,,,
Well Row,Well Col,Content,Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520),Raw Data (485/520)
,,Time,0 min ,11 min 8 s,23 min 21 s,36 min 29 s,51 min 28 s,62 min 51 s,74 min 39 s,86 min 4 s
A,1,Sample X1,195285,189503,190903,188766,189158,189536,197662,194363
B,1,Sample X13,193332,187770,190274,188382,187271,187864,188869,180230
C,1,Sample X25,188038,184171,185073,184470,187616,186269,189882,181749
D,1,Sample X37,180685,177638,180168,177862,178026,177667,180044,171815
E,1,Sample X49,134860,128266,130777,131462,133002,131952,135109,128472
F,1,Sample X61,123762,119388,121950,122188,123378,122850,124996,118308
G,1,Sample X73,125950,120262,123357,125435,127031,126003,128348,120009
H,1,Sample X85,120402,117316,118326,118302,120238,119672,120831,115887
A,2,Sample X2,184470,181758,182125,180851,182739,185498,193202,191268
B,2,Sample X14,175549,173325,174939,175027,176906,177319,181129,173789
C,2,Sample X26,196509,191726,193091,194370,195342,193573,196102,185931
D,2,Sample X38,182514,180120,181719,182942,183835,184303,185911,177089
E,2,Sample X50,124840,121605,123973,124452,125144,126485,126727,121019
F,2,Sample X62,133942,129792,133298,132278,134446,134509,135509,129098
G,2,Sample X74,131704,127962,130617,131102,131194,130074,132176,125178
H,2,Sample X86,126685,123738,125552,125580,126890,127188,130045,123655
A,3,Sample X3,189768,185607,187722,185277,190538,190372,193205,185694
B,3,Sample X15,175479,174909,176948,175874,176219,176084,176465,169246
C,3,Sample X27,191586,190030,189857,188733,190955,189364,190419,179121
D,3,Sample X39,191974,193133,193416,193979,197158,194202,195304,184834
E,3,Sample X51,126808,122283,125232,125803,125316,126468,127072,122008
F,3,Sample X63,122193,118236,122430,122407,122887,122749,125232,117914
G,3,Sample X75,129860,126110,128240,127780,128413,129158,130603,125068
H,3,Sample X87,120956,118351,120556,121281,123410,121778,123520,118171
A,4,Sample X4,201107,194765,193572,191049,192148,192460,193966,184258
B,4,Sample X16,199381,195784,198140,196155,198749,197242,196624,187111
C,4,Sample X28,194610,189237,190288,194109,202194,208340,214643,208923
D,4,Sample X40,211005,208852,208676,208311,209588,207631,207190,197580
E,4,Sample X52,125170,122031,122705,123280,125254,123378,125522,118691
F,4,Sample X64,126171,124990,124961,125593,126989,127034,129217,123741
G,4,Sample X76,124431,121018,122584,122932,124571,124245,126324,119106
H,4,Sample X88,128256,123418,124693,125961,126369,125852,129965,123996
A,5,Sample X5,189767,185278,184643,183226,186225,185248,192781,193953
B,5,Sample X17,161975,161373,175445,175375,177748,175966,177794,167416
C,5,Sample X29,182432,180728,182456,184303,184139,186311,187218,179498
D,5,Sample X41,170949,171613,172102,174914,174951,174824,176848,168638
E,5,Sample X53,147292,144149,145660,145688,147051,146764,147198,141224
F,5,Sample X65,119607,117771,118603,120080,121152,119457,121234,114738
G,5,Sample X77,137962,134692,136380,137806,138152,137938,140437,132848
H,5,Sample X89,135049,130970,131379,133271,134382,133786,137306,129739
A,6,Sample X6,181357,176626,174898,173585,173039,173365,173463,164291
B,6,Sample X18,182530,178734,180280,179117,181946,181534,181799,174356
C,6,Sample X30,177753,176699,178990,177746,179768,177550,179742,170294
D,6,Sample X42,181430,180009,182818,181751,181065,178051,180193,171212
E,6,Sample X54,139470,135694,137354,137447,138121,138977,139861,133034
F,6,Sample X66,141261,138078,138496,138665,140465,139727,140596,136159
G,6,Sample X78,125905,122576,124233,125094,126848,125202,128071,121566
H,6,Sample X90,134998,131253,132860,133082,134734,134888,137956,130570
A,7,Sample X7,120506,116004,117759,117135,118942,119686,120918,114774
B,7,Sample X19,111130,108788,110331,108724,110453,109772,111317,106760
C,7,Sample X31,140756,138135,138721,140121,141557,140377,141484,135332
D,7,Sample X43,140772,135894,138572,138726,139979,139198,142176,135533
E,7,Sample X55,133651,129248,130970,130406,132395,130963,132979,129119
F,7,Sample X67,150012,146387,148289,148458,149262,149084,150290,142557
G,7,Sample X79,132402,130616,130887,131460,132800,132510,136204,130189
H,7,Sample X91,129353,126237,127318,127930,128164,127986,131478,124090
A,8,Sample X8,113606,109344,110608,109680,113072,113686,113712,107774
B,8,Sample X20,120846,117378,118578,119635,120002,119325,120960,114352
C,8,Sample X32,126200,123616,125232,126799,126454,126799,127462,121508
D,8,Sample X44,141917,137198,140658,140299,142098,140694,142562,135314
E,8,Sample X56,124496,122052,124114,122328,123429,123542,126293,119683
F,8,Sample X68,146736,143173,146205,145645,147568,146096,148426,141514
G,8,Sample X80,125997,124019,125735,126168,125838,126307,128325,121762
H,8,Sample X92,115437,111120,112685,113289,113932,114418,116854,111277
A,9,Sample X9,119544,116176,117796,118177,119912,118484,120796,114480
B,9,Sample X21,123134,120148,120559,121920,123273,122070,124368,118686
C,9,Sample X33,131654,129211,130944,130178,131762,130358,133873,127382
D,9,Sample X45,115555,114218,113568,115576,116639,116457,117168,111717
E,9,Sample X57,112610,108846,109714,109558,112135,110884,111809,106923
F,9,Sample X69,122195,119374,119898,121255,121694,121228,123038,116895
G,9,Sample X81,132219,129008,131457,131586,132806,132061,133798,128664
H,9,Sample X93,110339,107044,108456,108744,109902,109256,112551,106779
A,10,Sample X10,108761,105215,107022,108066,109821,109808,109717,105516
B,10,Sample X22,110995,107996,109356,110409,111832,111688,112854,107833
C,10,Sample X34,125344,121978,123910,123134,124099,124230,126104,119542
D,10,Sample X46,119109,116728,118654,118944,120936,119450,120535,116864
E,10,Sample X58,118037,114974,116630,115396,117191,116466,117518,111049
F,10,Sample X70,113251,110868,111025,111448,112344,112197,113051,108912
G,10,Sample X82,122125,120814,120534,121296,123373,122602,123604,118026
H,10,Sample X94,113934,110424,110688,112699,113164,114491,116087,110828
A,11,Sample X11,114066,110569,112306,112523,114325,113965,115260,109186
B,11,Sample X23,102734,100100,99824,100654,103109,101907,102850,98730
C,11,Sample X35,112767,108438,109459,109009,111247,110186,111779,105807
D,11,Sample X47,103700,102906,103169,104400,104552,104407,106407,101773
E,11,Sample X59,108171,105035,106458,106907,107237,106482,108415,102355
F,11,Sample X71,115454,112590,113431,112782,114483,115344,116472,110628
G,11,Sample X83,125862,123572,126463,124511,126156,125248,126820,121663
H,11,Sample X95,110460,111451,112432,114199,115170,113805,117200,111505
A,12,Sample X12,104941,101090,102498,103722,105335,104306,105430,100563
B,12,Sample X24,105454,103314,103892,104742,105100,106396,108080,103000
C,12,Sample X36,104904,104413,104929,104576,107619,106858,107593,103151
D,12,Sample X48,106785,103864,104930,105348,107284,107581,109346,105479
E,12,Sample X60,100870,99982,100853,100820,101907,102119,102640,99083
F,12,Sample X72,112592,111988,112767,111958,113917,113227,116490,112110
G,12,Sample X84,103709,100820,102159,101913,103782,104042,104280,100170
H,12,Sample X96,104914,102875,104758,104290,104778,104256,106948,103269
