User: USER,Path: C:\Program Files (x86)\BMG\Omega\User\Data\,Test run no.: 190,,,,,,,,,,,
Test name: QUICK FI TOP,Date: 24/04/2016,Time: 22:09:11,,,,,,,,,,,
,,,,,,,,,,,,,
ID1: QUICK FI TOP,,,,,,,,,,,,,
Fluorescence (FI),,,,,,,,,,,,,
,,,,,,,,,,,,,
Raw Data (485/520),,,,,,,,,,,,,
,,,,,,,,,,,,,
,1,2,3,4,5,6,7,8,9,10,11,12,
A,42901,15246,10498,10350,9939,10403,208826,16790,11964,10300,9837,9909,2000
B,27422,12270,8804,9524,9061,8252,61023,15293,11767,9823,8785,7636,200
C,82954,19883,12813,11238,11662,8027,33465,12052,10314,8928,8604,7455,20
D,81866,20141,12191,11275,10994,8390,5404,5458,5146,4708,4782,7088,2
E,87164,20892,12535,10948,11390,8133,12547,8804,7914,7230,7002,7538,0.2
F,78456,18094,11996,11322,9956,5020,10905,8053,7931,6946,6724,4055,0.02
G,10318,7820,7767,7528,7594,4286,10110,7287,8360,7700,7251,3995,0.002
H,9948,7308,6881,7436,7136,4636,10171,7432,7116,6658,6478,3908,0
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,1,2,3,4,5,6,,,,,,,
A,20-200,200,20-2000,200-2000,2000,2000,~200,,,,,,
B,2-20,20-200,2-20,2-20,200-2000,200-2000,~20,,,,,,
C,200-2000,2000,2000,2000,2000,200-2000,~2000,,,,,,
D,200-2000,2000,2000,2000,2000,200-2000,~2000,,,,,,
E,200-2000,2000,2000,2000,2000,200-2000,~2000,,,,,,
F,200-2000,2000,2000,2000,2000,200-2000,~2000,,,,,,
G,0,0-0.02,0-0.02,0-20,0.2-20,,0.02-0.2,,,,,,
H,0,0,0,0-0.2,0.002-0.2,,0.002-0.2,,,,,,