Well,0 min ,14 min 34 s,27 min 8 s,42 min 30 s,58 min 7 s,73 min 36 s,92 min 23 s,109 min 1 s,124 min 29 s,141 min 13 s
A1,194347,191920,192342,190184,189124,192481,167457,154876,150249,148428
B1,192933,190602,191611,190889,191204,192009,170078,157541,150296,149076
C1,208886,206248,208419,208773,210646,209613,183245,169720,164890,162680
D1,197786,197353,199898,198449,199794,200938,175588,161933,157348,155697
E1,122462,124409,129758,130663,131243,132574,118512,109400,105795,105371
F1,112946,112637,116928,116824,117135,119190,104517,97819,95187,93517
G1,115204,114488,115906,117490,118253,118894,106512,98272,95084,94687
H1,114550,113176,115896,116437,115714,119191,104685,96339,94251,92394
A2,203125,201195,202311,202752,198242,200026,175699,163823,156964,155031
B2,201694,199962,198467,198154,195994,197190,174536,160215,155895,154041
C2,194985,195034,196979,199020,197248,197391,174898,161656,154856,153599
D2,202038,199487,200172,202146,200514,200912,176808,166714,159919,156871
E2,113852,116144,118893,119844,121123,123167,108742,99679,96706,95546
F2,122309,123111,127512,129143,127440,130427,116156,107582,103801,103654
G2,120860,121256,123728,125769,125817,126632,112601,104638,101116,99479
H2,111597,112143,114745,116741,116978,118211,105466,98227,94538,94166
A3,186520,183872,183884,185190,191940,209311,208283,209780,209955,210416
B3,175855,176938,180618,180448,180401,182118,161841,150512,146448,143907
C3,185787,188334,190673,191653,191551,194776,169181,157322,150870,148700
D3,183091,187080,189032,189442,189796,191173,168168,155826,150556,146314
E3,112656,115308,118353,119708,121022,122927,108321,99627,96774,95834
F3,109626,110782,113821,114519,114986,116815,103466,95704,92641,92728
G3,115804,121278,123380,124793,125195,126530,111642,103630,101143,99826
H3,105361,107888,111382,111650,113766,114031,101502,94590,92845,90803
A4,117417,121075,122244,122760,125192,125839,110967,104036,98973,97863
B4,115301,118740,123226,123496,124798,124691,111118,103498,100201,99594
C4,107055,109624,113074,114802,114896,115876,103405,95740,93217,92136
D4,126258,126310,128595,131168,129990,133614,117090,109683,105830,104444
E4,112068,101602,116733,117556,118396,120346,105473,98490,95406,93594
F4,115780,117416,120461,120572,120791,123234,109375,101638,98510,96906
G4,112682,113505,116699,117750,117048,119324,104390,96926,94202,92826
H4,111537,112831,115404,118015,116380,119650,104278,97117,94594,93243
A5,110721,115860,117800,117430,117971,120750,105074,99552,95957,96017
B5,105709,104729,110042,110004,110723,112568,99524,92292,88384,87584
C5,123270,123657,128432,129036,129614,131968,116718,108226,104870,103742
D5,103667,105480,108508,110013,110189,111584,99908,92609,89407,88190
E5,129151,130562,133912,135291,136609,139070,122042,114038,109369,107639
F5,106659,107528,110911,111767,113005,114790,101070,93753,91418,90358
G5,128169,129634,130663,132684,135633,135887,119113,110196,107976,106588
H5,120418,120724,123968,125138,124650,126498,111867,103273,100917,99090
A6,106055,109942,110062,112064,113910,114663,101200,94810,91117,91340
B6,108485,107774,113199,114252,114908,117106,102820,95150,92470,91683
C6,102150,106190,109777,109915,111394,113190,100151,92050,89762,88643
D6,116324,118859,121299,121874,123811,125630,111178,102503,98722,99036
E6,121783,123707,127370,129418,129274,131417,116470,108279,103862,103673
F6,125210,126187,129681,132920,131518,133989,118604,109477,106896,105180
G6,112502,113120,116890,119680,119514,120438,106508,98724,95137,93950
H6,121446,121134,123408,125257,125397,127818,111519,104072,100988,99715
A7,111866,110618,114238,114658,115481,116570,104284,95870,93117,92531
B7,103390,102202,104091,106288,107145,108303,97330,89204,86472,85836
C7,127372,128618,131366,133355,133152,135046,120055,110624,107204,106339
D7,125407,127477,132148,131744,132928,135413,119525,111946,106601,105490
E7,117316,118436,122595,123550,123481,125950,110740,103426,100245,98352
F7,132471,133220,138000,139300,139313,140721,124846,115888,112144,110391
G7,122817,123621,128573,128492,129860,132224,115997,108011,104835,103043
H7,118576,118730,120303,123220,121916,124436,108318,101005,98714,97784
A8,107494,106041,109116,109258,111165,113079,98890,92261,89326,89181
B8,112154,108980,112120,114409,114835,115974,103352,96559,92780,91895
C8,116087,116842,118468,120459,119620,122370,108063,100823,97684,96484
D8,126393,128859,132202,134993,134601,136184,122190,112554,109184,107146
E8,112517,113583,117214,119185,119079,121876,107206,98042,96027,94875
F8,130984,134300,137457,137540,138634,141917,125834,116567,111873,112798
G8,114589,114482,118336,120784,120828,124424,108654,101349,97654,95089
H8,106461,106993,108115,110082,109454,111875,98913,91262,88395,87536
A9,112566,114827,118446,119300,121104,122652,107839,101942,97534,97052
B9,113677,113623,116692,117009,118175,118937,104809,99256,95274,93128
C9,118326,119505,123358,123802,123812,126547,112070,103148,100635,98956
D9,107085,107936,111080,112528,113604,114423,101052,94370,90812,89500
E9,99748,101580,104695,106167,105790,109215,95433,88495,85395,84871
F9,112095,114760,118306,119242,119951,120971,106403,98756,95292,95229
G9,124427,126479,127807,128890,128961,131572,115214,106647,104523,103448
H9,103776,105521,107257,108591,109488,110471,97525,90450,88097,86616
A10,105638,105842,108360,108466,109460,110330,99141,92290,89248,89038
B10,104934,104600,108248,109611,109416,111427,98262,91669,88011,86874
C10,117992,119344,122850,124251,124132,126883,111340,103501,100243,99302
D10,113149,115272,119096,118936,119730,121194,107278,99945,96484,95225
E10,107045,109186,112920,113890,114227,115385,101762,94303,91718,91709
F10,106321,107936,109972,111343,111433,113054,100106,92942,90677,89121
G10,113649,116999,119500,120539,121316,122239,108457,100134,97134,96177
H10,106906,109355,111602,111977,113669,115739,102410,94883,93044,91928
A11,109621,109224,110880,111458,112243,113384,100410,94419,91004,90869
B11,98536,99262,101128,101584,102846,103918,91956,86854,83566,82865
C11,101466,105678,108150,109647,110456,111013,99224,91148,88949,87875
D11,100024,102037,102732,104675,104996,105668,94339,87087,85462,84483
E11,101249,104813,105662,107816,108094,108529,96042,89805,87114,85744
F11,109326,111364,113549,115157,114870,117411,101862,96345,92442,92031
G11,117804,120613,122099,123975,125257,126398,112429,103318,102312,99817
H11,105237,105654,107026,110924,111331,112194,98640,91822,90695,88617
A12,105389,105550,106125,107830,108112,110244,96629,89768,87334,85865
B12,99768,104822,105773,108336,108772,110712,95959,90716,88653,87334
C12,97096,100677,103425,104884,105008,107246,93745,87260,85696,84594
D12,103988,104404,104873,106544,107936,109580,96692,89854,87979,86053
E12,100899,101986,102130,103412,103346,107579,93103,87102,84802,84201
F12,106095,110506,110980,111276,112982,114498,101226,94955,91968,90346
G12,98414,102633,104940,107238,106163,109193,96427,88746,86416,85724
H12,101077,105155,105955,106923,107662,109360,96248,88510,86829,86045