Well,0 min ,12 min 42 s,28 min 1 s,43 min 31 s,58 min 46 s,77 min 52 s,94 min 44 s,110 min 7 s,127 min 
A1,194858,192196,190957,189075,164875,133928,131018,128758,128719
B1,187670,189198,187102,188317,163735,131490,128085,128301,127110
C1,210520,207876,207098,205211,177831,144918,140444,139356,139023
D1,199727,198141,197661,197904,170541,138722,134049,131851,132172
E1,131406,131484,132459,132784,115726,94820,92235,93034,93189
F1,120471,121239,122025,123151,107622,88788,87090,85112,86960
G1,121359,120324,122324,124196,108396,89343,87023,85232,87428
H1,119379,118308,119261,120680,106746,86868,84036,83035,85282
A2,210408,207534,204549,203011,176518,142881,139258,138363,139626
B2,203512,201984,197328,196608,171188,138552,133890,134502,133680
C2,203974,204304,200941,199159,171893,139229,135924,136009,135152
D2,210563,209454,210271,207626,182567,146412,141976,142092,140514
E2,124291,126111,127554,127028,112403,90953,88111,88386,89303
F2,132902,132976,134313,135077,118211,96526,94706,94422,94670
G2,127611,128568,129086,130710,114348,92904,91066,89498,91487
H2,128346,126533,128118,128483,114034,91676,90124,88546,90847
A3,191285,190533,189185,190626,208724,212260,209521,206560,209133
B3,170609,178452,180805,180672,198836,202591,199908,198994,198885
C3,195994,195162,195619,194111,171536,168864,202831,208887,210342
D3,193763,194322,192537,192276,166948,133544,131552,130541,129307
E3,122426,123083,123619,124658,108998,88977,86190,85752,87641
F3,118149,119651,120306,120434,106136,86908,83929,83699,84008
G3,130772,130134,131837,130520,114680,93920,92128,90904,91182
H3,114557,119766,118059,118918,104615,84747,83353,82034,82947
A4,129360,126724,126921,127980,113636,91065,89953,89054,89826
B4,124908,125644,126752,127932,111976,90652,88697,89318,88346
C4,120927,120077,121851,121866,107649,86906,85538,85738,85578
D4,136660,137300,138284,138260,122305,99657,96767,96474,96767
E4,121870,122120,123250,124204,108974,88196,85118,85638,86388
F4,122046,124962,124732,125595,109663,90303,87862,86926,88179
G4,120513,122388,122024,123318,108477,88815,86292,85269,86581
H4,125273,125804,128222,128843,112571,91943,89817,89658,89788
A5,120475,120346,121666,123518,106594,87640,84918,84856,85322
B5,112294,113871,114550,115642,100971,81664,80620,79916,80862
C5,134178,134171,134716,135667,118065,96312,93695,93453,93898
D5,114570,114530,115562,115573,101980,82512,80192,79996,81040
E5,142658,144528,144328,145873,127552,103428,100697,100282,101827
F5,116026,116081,117326,118428,104137,85247,81571,81269,82129
G5,135065,137752,137665,137315,121334,99178,96550,96725,96794
H5,130423,132047,133174,133917,116838,95022,93250,92390,92171
A6,116656,115451,116242,117332,104818,83268,83188,81570,82428
B6,121168,120761,121400,121946,108669,87699,85785,84760,86118
C6,112928,112182,111810,113455,99766,81858,79615,79026,80255
D6,128867,130064,129662,130260,114247,93719,90317,89856,90497
E6,135861,136523,137613,137948,121394,98811,95933,95058,96701
F6,136208,137622,138835,140254,122150,99537,97172,95684,97948
G6,122770,123463,123328,124486,107564,89296,86417,86127,86922
H6,131269,130515,132432,133593,116176,95031,92875,92232,93028
A7,123049,122673,122763,123093,108176,88701,86923,85562,86376
B7,111374,111696,114973,116305,100690,82121,79448,79080,79916
C7,138347,138983,138805,139554,123060,99410,97985,97792,97935
D7,136964,138450,138951,139452,122366,100004,96487,96326,97651
E7,128361,129980,129539,130024,114250,92290,90838,89717,89624
F7,144239,145776,147532,147492,129833,106007,103411,102226,102852
G7,130912,133351,134317,136098,117720,96159,93856,92856,93622
H7,129849,129260,130459,131282,114846,94460,92136,90066,93942
A8,117150,118090,118523,118200,104334,84016,82946,82815,82821
B8,120891,120842,121115,120488,106589,86083,84718,84182,85398
C8,122585,123563,125288,124589,109951,89263,87322,86815,86139
D8,140356,139974,142313,142243,125437,100524,98889,98996,98825
E8,124282,124200,124618,125100,109746,89572,88362,86052,88246
F8,141673,143647,143556,144981,127738,104512,100350,99187,100651
G8,127092,128217,129652,129165,113272,93746,90765,89431,90886
H8,114513,115164,117175,117191,104408,84733,82064,81598,82358
A9,123468,121416,123298,123014,108931,87236,85652,84918,85684
B9,124530,123275,124566,124748,109041,88630,87270,86222,87618
C9,130087,133514,132578,134454,117587,95409,92926,92450,92880
D9,118516,120164,121574,121234,107292,87567,84967,84519,85436
E9,112674,114298,113392,113372,101229,82709,80390,79273,80756
F9,123459,125317,125118,126230,111421,90646,88121,87105,87546
G9,133334,135194,134978,137094,119888,96767,95157,93509,95626
H9,113082,113978,114614,114986,100984,82855,80619,79499,80660
A10,113674,112697,113413,114366,100220,81734,80417,78727,80135
B10,113222,114302,115217,115380,100836,82405,80650,79976,80955
C10,127953,128525,129336,130020,115042,93000,90592,90624,90642
D10,126614,126082,128437,127904,113075,91694,82750,81792,83461
E10,120186,122830,122975,123109,108734,88749,86385,85352,87127
F10,116930,117112,118206,119378,104273,84948,82984,81196,82847
G10,126740,129472,129766,130000,114592,93416,90732,89624,91275
H10,117109,119056,118248,119029,105693,86226,83848,82624,82932
A11,117378,117430,118698,118419,104129,85386,82988,81928,83837
B11,103654,104852,106208,106243,93864,76351,74904,74513,75124
C11,114202,114870,115256,115592,100773,82395,80392,79614,80393
D11,107554,110276,109661,111145,96820,79139,77040,76744,77274
E11,110569,111847,113087,114068,99517,80672,79384,79095,80037
F11,118028,119300,120215,120581,104594,85970,83823,83350,83879
G11,130452,131983,131939,132127,117175,95761,93524,90572,92758
H11,114824,117236,117742,118620,104454,84969,83509,81778,84037
A12,111915,110422,111225,115821,102731,83712,82193,81683,82867
B12,109730,111281,112127,112064,98654,80271,78474,77441,79043
C12,108399,107760,108309,108978,95496,77944,76226,74673,76902
D12,112224,111880,113103,112848,99386,81054,78497,78489,79378
E12,107335,107508,107870,110338,95703,77507,75656,75804,76465
F12,116655,118140,117911,119206,104815,85578,83463,83021,83762
G12,110305,109680,110656,111285,99209,80838,79450,77724,80232
H12,112412,112400,113081,114141,99777,81450,80144,77922,79773