Well,0 min ,12 min 23 s,26 min 12 s,39 min 59 s,54 min 9 s,67 min 55 s,81 min 41 s,96 min 10 s,110 min 8 s
A1,167086,157544,196521,197148,197539,190687,186576,176270,173891
B1,165753,156112,190409,188078,194826,188914,183224,175030,168530
C1,171530,160193,176412,163795,196853,195004,190804,181648,175496
D1,154797,146266,154705,138057,155494,168133,171569,167519,164534
E1,167456,160504,166593,145934,160146,175720,186470,182912,181497
F1,150607,145396,146761,120721,119851,115245,111695,107379,104928
G1,156042,147140,148340,121567,120427,115616,111494,106369,102838
H1,108893,100954,102627,83302,83360,79964,78183,74825,71200
A2,208281,196434,209234,188346,204696,211794,214731,210708,208792
B2,197220,190346,193180,165340,164548,163056,158372,152033,149178
C2,197417,188568,189264,161118,157996,155370,148162,141538,138760
D2,191358,184327,183762,154861,152576,149478,141912,137484,133432
E2,173066,168135,170400,144596,141702,139324,134283,129130,125580
F2,189610,185134,186326,157603,157183,155716,146468,143010,140486
G2,218382,215612,215765,184385,181288,178229,170712,162216,159368
H2,118062,106365,109277,88486,89063,85462,83578,79582,76436
A3,156588,148111,149646,122573,122703,119094,116948,112202,108858
B3,157685,149176,148522,123199,123118,119226,116402,111352,106353
C3,159468,149913,152857,126645,125469,120527,119093,112962,109628
D3,151013,144399,143706,119050,119351,113742,111824,106261,102707
E3,146437,136831,139775,114444,114880,109157,107064,101984,99052
F3,149013,138899,139561,114276,114810,110705,107771,103922,99750
G3,160860,156879,158919,130359,130051,123973,122331,115601,111125
H3,104832,97973,99766,81542,81557,78196,76575,73040,69807
A4,168448,160066,206793,209863,212934,202937,198628,188447,183616
B4,164499,155900,195168,196279,208636,200615,194361,184141,178194
C4,155212,145704,173220,163560,202767,196432,191407,181171,176423
D4,169780,158882,162424,141493,152336,158715,165454,167679,168024
E4,150364,142634,143894,118346,119870,118972,116360,114546,113841
F4,148423,140824,139708,115232,114056,109731,106656,102200,98550
G4,163431,154102,152600,125849,123769,119500,115836,110325,105702
H4,113132,107010,106894,88596,87107,84756,81708,78793,75320
A5,193195,184716,194984,175042,185729,191387,193277,190273,190448
B5,182511,175358,177735,153887,152280,149867,145472,140017,135835
C5,202800,191463,194568,165829,162145,159525,152368,145571,141448
D5,182125,175073,176716,150549,146889,144308,138112,131974,128588
E5,212336,202125,201348,167478,165790,163664,156910,152433,148840
F5,187782,180510,179012,151718,150071,148293,141386,137426,133189
G5,206669,201144,198727,169647,167654,166814,159269,155176,149767
H5,118318,112460,114085,94386,93008,90054,86578,82800,79956
A6,156650,148696,149296,121120,122208,118158,116166,111065,106547
B6,157904,148696,149004,123813,122263,117284,114609,109481,106257
C6,146182,137107,136180,111802,112296,107623,106428,101947,99322
D6,156408,148043,148400,122414,120686,116526,113644,108322,103961
E6,172407,162660,161027,132588,131203,127052,123473,119082,113869
F6,170367,159781,160572,130851,130713,126242,123752,118019,114197
G6,164384,155366,155769,127995,128354,123314,119901,113498,109912
H6,115529,112117,113171,92958,92221,89812,87899,82919,80370
A7,166954,157662,201981,198253,197798,190107,182838,175088,169376
B7,159630,148115,187504,182731,192000,183147,178143,169945,163625
C7,175110,163637,187288,174408,202806,198018,191616,182307,176110
D7,160493,150222,155456,140713,161040,171478,169978,163421,157760
E7,162509,152900,152600,124909,123504,119753,116130,111074,107423
F7,176427,168156,167498,135161,133999,128743,125642,120396,115594
G7,170008,157487,156277,128194,126576,121221,118094,113122,108872
H7,116303,110661,111513,90810,90454,88215,84656,81849,78874
A8,183388,173654,181592,159560,169479,173771,174503,172196,170358
B8,186929,178198,180296,152579,150356,149354,142242,137393,133844
C8,184072,177275,178118,149333,146515,144451,138350,133005,128828
D8,176090,167811,165762,139728,137343,134020,128739,123865,119891
E8,174509,165951,164899,138794,136800,135005,128974,124046,121188
F8,190462,181896,180778,151107,147562,145843,138660,133281,129351
G8,185752,178307,176838,150581,148180,146565,141360,136563,133394
H8,98810,95145,95234,78363,78133,75525,73296,69404,67367
A9,165673,157226,158389,130998,131575,126326,124172,119211,114907
B9,172104,161670,160740,131916,132374,126089,124087,117739,114636
C9,176912,165783,165424,137202,136503,131386,127312,122736,117877
D9,160958,153040,152637,125540,126098,121083,117998,112694,107978
E9,164880,156045,155094,127274,126292,122210,118700,112620,108917
F9,158017,150258,151744,126022,124517,120820,117517,112310,108894
G9,177992,169987,170309,140210,138862,133096,131047,122866,118933
H9,102302,95568,96911,80825,79366,77336,74843,72033,69315
A10,158977,152521,197157,186147,184127,177984,173066,165439,160681
B10,159413,149172,179776,176322,183661,176679,170307,162275,156810
C10,169802,158050,181048,169025,191505,185123,180186,170086,164021
D10,166965,155764,157564,135608,147914,155118,160642,160678,157236
E10,164492,154402,154387,125968,125827,121846,119439,113784,110612
F10,152394,143009,141802,117666,116465,111866,109506,104935,101819
G10,164210,153825,153373,127394,124670,119195,116613,112932,107706
H10,100607,97120,97198,80665,81389,77686,75942,72440,71027
A11,181360,173350,186577,171947,186416,180934,175807,168167,162199
B11,147772,142191,143692,121552,122030,121552,117332,114202,111733
C11,165737,160610,160338,134076,132152,130350,125181,119362,116042
D11,151938,145648,145099,120868,118350,115905,112014,107241,104784
E11,170876,161762,157266,132966,132555,129553,126081,122007,117808
F11,167925,161733,163018,137003,135324,132877,127843,122978,119228
G11,194241,185107,185443,155140,152881,149432,143691,139497,134264
H11,103074,97979,101227,82903,82243,79506,77762,73810,72240
A12,151548,154177,154650,126879,127490,121830,118092,113674,108575
B12,156620,148828,146477,121392,120602,115074,112777,107167,102647
C12,158328,153298,152771,124661,123581,119040,115641,110066,106460
D12,162054,151874,153947,125803,126158,122163,118564,112715,108936
E12,164705,152533,151592,123598,123215,117528,116071,109264,106048
F12,173915,163152,162101,131437,131836,126404,122917,116928,112814
G12,147891,146764,148388,122787,122652,118430,115376,109537,105246
H12,121337,115030,115982,94904,95526,92741,89700,86500,82228