Well,0 min ,10 min 23 s,21 min 43 s,35 min 24 s,47 min 1 s,57 min 44 s,70 min 43 s,96 min 10 s,110 min 56 s,123 min 26 s
A1,196904,195350,198894,205326,211390,209168,209685,209373,209293,208150
B1,190948,188143,194183,191770,184902,178417,176842,176248,177052,177321
C1,207456,207273,210885,208557,201249,195080,194179,192375,194063,193964
D1,210723,206347,209646,208661,200024,192590,192934,191143,192193,193834
E1,144584,142757,143778,143721,137882,134795,133971,136076,134410,135242
F1,124540,125356,126050,125526,121472,118789,117179,121538,117642,118781
G1,124026,122679,123135,122349,117652,114505,115046,114810,114319,114832
H1,123507,121553,123806,123319,116935,114232,113455,115691,114111,115263
A2,135622,132566,141560,142199,135368,132418,131540,132968,131110,131846
B2,128212,127473,128670,128335,123318,120856,120488,121350,119898,121268
C2,133577,132606,135238,134374,128835,126735,125862,125799,124351,126898
D2,133913,133243,136339,135702,130298,127164,125368,130389,127098,128024
E2,132647,132393,132640,133128,127096,124091,124607,124851,122553,124153
F2,143263,142342,144282,142472,137368,135040,134029,134612,134382,135742
G2,140444,139192,140211,139856,134171,130706,130801,131999,131980,133327
H2,130543,129473,131484,132374,126858,124128,122552,123966,123876,125027
A3,126544,124566,128054,129013,122245,119231,118254,119257,119511,119936
B3,123602,122545,125720,125573,119758,116911,115736,117482,117447,118518
C3,130260,129900,133132,131640,124769,123652,121665,123358,122852,122883
D3,141472,139746,139682,141524,134892,133165,131452,132613,132348,133160
E3,131488,131502,133190,134133,128282,125770,124994,124179,125213,125794
F3,122569,121145,125269,123226,119766,116272,116459,116984,116248,117156
G3,138410,137928,137953,138014,132422,129224,129530,130013,127947,130019
H3,125490,123243,125921,126404,121586,119301,117164,117840,116846,116999
A4,128416,126514,128465,129259,123547,121761,119718,124407,121406,120679
B4,130799,129294,131352,131276,125220,123378,121774,126176,122708,123509
C4,134660,134301,137158,137019,130391,128388,126617,128099,125494,126837
D4,148064,146829,148670,149644,142509,139352,139584,139799,139195,140322
E4,134080,133508,135635,135751,129274,127094,126148,127530,124964,127325
F4,135296,134720,137871,137336,130414,127996,126732,128418,125594,127218
G4,136439,134776,136472,135187,131750,127820,127188,127082,124424,126530
H4,131833,130534,133486,133718,126975,125200,123994,125734,125168,125898
A5,121822,120412,121099,123166,117134,115145,112780,114298,114087,115148
B5,115805,114030,116566,115802,111430,109341,108663,108301,108341,110453
C5,143798,143112,146682,145217,138310,137442,135124,137239,133145,135654
D5,118777,118653,120605,120984,115238,113827,111519,113317,112729,112788
E5,152253,151194,155878,155325,147592,145174,143758,144799,143146,142796
F5,121630,122068,123440,123282,118013,114860,114600,116880,115057,114618
G5,148027,146424,149620,148857,143819,139196,139820,139453,138764,140608
H5,141277,141014,143718,143105,137832,134023,132661,134230,132696,132896
A6,116074,114582,117965,116582,113418,109456,109467,111221,109278,110258
B6,120806,119788,123946,121774,117732,115461,113673,114755,114310,115429
C6,119376,120092,121779,120830,115190,113826,113498,112569,112044,113020
D6,83040,82768,85496,84713,79966,78704,76732,76992,76634,77825
E6,140038,139826,142175,141487,136102,132910,131508,131152,130129,131281
F6,147051,145678,147883,149151,143234,139326,139040,140101,138716,139447
G6,131018,129987,132000,131335,126417,122873,123150,123718,123353,123842
H6,139111,138361,139809,139881,134602,131383,131260,133334,130890,132810
A7,119527,118720,120362,119830,115406,113126,112649,112522,112113,113994
B7,117119,114950,117790,118065,113212,110902,108922,112847,108715,109658
C7,141863,143509,146046,145513,141180,137956,135633,137224,134177,136100
D7,95691,96042,97274,98561,94584,92365,91678,92843,89318,89662
E7,138896,139020,143500,142296,137151,134280,133690,133740,132086,133290
F7,152964,153064,156519,156696,150067,146632,144227,147059,144331,143946
G7,141740,140951,144544,144108,138386,134349,135992,134981,134372,135178
H7,135587,133474,137299,138675,132116,128522,128354,129982,128372,130244
A8,113775,112503,114548,115028,109974,107194,105524,107142,107667,108173
B8,119483,119602,122332,122542,117884,115215,114705,115363,114406,115048
C8,130934,129975,133943,133385,127013,123973,123278,124933,122951,124046
D8,151875,150879,155173,154154,148008,146266,143968,146142,143458,144494
E8,136472,134466,136552,136899,131745,125528,126782,130210,124616,126640
F8,153711,152592,155744,155745,149379,146554,145650,149012,144023,144624
G8,138588,138732,142937,141488,137305,132866,131582,136108,130922,132343
H8,121944,121473,124756,123711,119360,116577,116007,117697,117278,117334
A9,122108,121085,122625,123026,119762,115516,115694,115172,114338,115777
B9,128301,126196,129858,130212,125026,122254,120139,123694,118111,119516
C9,136016,135538,137424,136112,130956,128568,125268,126435,127360,127250
D9,127606,127688,131837,130869,126009,122761,122128,124254,121188,121778
E9,120268,119784,122729,122505,117816,114796,114228,115585,112810,114154
F9,131295,131526,134011,133645,128985,125372,124535,125296,124578,125174
G9,139904,139296,141675,141640,136172,131687,131916,132950,131729,132455
H9,125880,124874,127238,126412,121895,119526,119266,120289,118920,119535
A10,115396,113948,115194,115492,110925,107902,107460,107883,108167,108266
B10,117901,118365,121828,121066,117147,114668,112505,115925,111224,113178
C10,133320,131719,136074,134345,130082,128007,124698,128073,124414,125948
D10,135101,133667,136790,137474,132601,129128,129623,128868,128173,129038
E10,127998,128938,129866,130048,126125,122458,122188,121968,121214,121735
F10,124286,123825,127575,126091,121848,118711,118327,119028,117915,117855
G10,129620,128544,131574,131444,127070,122542,122163,122455,122863,123207
H10,126764,125680,127788,127385,125215,120262,119751,122075,121932,121306
A11,113876,114492,115532,115238,111390,109155,107784,108434,107221,109684
B11,106487,105957,107384,107043,104321,100912,100544,103516,101004,101383
C11,120522,119684,122322,121496,118688,114900,113953,116064,113113,113105
D11,114075,112254,114586,114712,110010,107378,106398,108548,106222,107838
E11,120003,119684,123142,123892,118031,116512,115640,116527,114256,115825
F11,123670,122556,124767,125924,121615,118546,116000,118914,115594,117388
G11,130097,129499,130459,131008,125781,122467,121596,123300,122214,122797
H11,119296,117974,120560,119765,116091,114256,113043,115479,112392,112985
A12,108925,107790,110870,111324,105718,105058,102754,102753,102393,104608
B12,113471,114306,118100,117113,113138,110274,108688,110598,109680,110826
C12,108773,107572,110782,109682,105924,103640,102606,103284,103400,104530
D12,118576,118354,121866,121551,117420,114371,112529,114111,113516,112935
E12,115228,113296,116633,115910,113386,109569,109039,111748,104720,105269
F12,118041,120366,119376,123424,116105,116216,112990,117429,111864,113318
G12,114176,112635,115372,115619,110589,107902,107691,107896,108064,108876
H12,114073,112247,113206,114142,110371,107613,107834,108938,106960,107400